Year,Month,tot_mkt_trans,n_res_trans,n_res_acreage_trans,n_res_fam,n_res_1fam_dwelling,n_res_1fam_suite,n_res_1fam_vacant_res,n_res_1fam_other,n_res_strata_row,n_res_strata_other,n_res_other,n_comm_tran,n_comm_comm,n_comm_strata_nores_rental,n_comm_other,n_recr_tran,n_farm_tran,n_unkn_tran,n_fth,n_nbh,n_tot_corp_tran,n_tot_indv_tran,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT,n_foreign_tran,n_foreign_res,n_foreign_comm,n_foreign_other,n_foreign_corp_tran,n_foreign_indv_tran,perc_n_foreign_res,sum_FMV_foreign_res,mn_FMV_foreign_res,md_FMV_foreign_res,n_lt1M_foreign_res,n_gt1M_foreign_res,n_gt3M_foreign_res,add_tax_paid,sum_FMV_foreign,sum_FMV_res,perc_FMV_foreign_res
2018,1,9690,9037,469,69,2586,635,490,365,1162,2566,695,529,236,264,29,14,101,9,1011,599,1303,8375,7492973019,773268.63,528413.24,123760658,7300,330,299,25,6,79,251,0.0331,252006029.4,842829.53,602000,229,62,8,10658553.71,291735154.1,6745343696,0.0374
2018,2,7909,7366,389,69,2031,502,361,292,853,1953,916,417,203,179,35,14,86,26,779,533,1096,6808,6161956170,779106.86,534900,106699982,7450,339,291,35,13,87,254,0.0395,265060626.4,910861.26,659900,224,60,7,11816541.36,301199501.6,5379977060,0.0493
2018,3,9109,8488,471,74,2452,552,485,341,1102,2174,837,486,252,202,32,11,116,8,941,554,1049,8045,7524642016,826066.75,535000,145633503,7598,272,224,41,7,35,236,0.0264,221804583.4,990199.03,727800,153,62,9,15883531.63,838611736.3,6151695593,0.0361
2018,4,9918,9254,473,97,2917,652,571,416,1417,2565,146,513,250,225,38,10,134,7,1080,562,1213,8703,8364736277,843389.42,535000,170653250,7894,303,220,73,10,74,229,0.0238,209959531.2,954361.51,723500,164,48,8,14532888.57,272906894.4,7150212580,0.0294
2018,5,12012,11251,685,98,3344,655,783,478,1592,3297,319,570,250,260,60,12,161,18,1285,787,1496,10512,9032786450,751980,5.00E+05,158146998,6900,320,288,25,7,42,277,0.0256,244628081,849403,615000,216,64,8,13311797,304835612,7816663453,0.0313
2018,6,13095,12378,769,133,3990,711,740,518,1646,3450,421,563,275,233,55,8,129,17,1448,949,1550,11530,9132312104,697389.2405,502500,154287705.9,6840,278,239,29,9,90,235,0.01930845,227518890,951961.8828,565000,180,48,11,19216186.53,249602381.5,8226665371,0.027656271
2018,7,12607,12003,693,74,3875,719,792,447,1684,2973,746,458,228,202,28,10,125,11,1377,984,1273,11302,9934112789,787983.8811,525000,182581407.8,7450,209,179,18,11,47,199,0.014912938,201933399.6,1128119.551,662450,119,51,9,10712374.39,262422102.1,8399893399,0.024039996
2018,8,12446,11752,762,78,3908,733,799,548,1605,2871,448,526,225,252,49,27,137,4,1394,670,1351,11078,9496907159,763048.9441,519400,174024573.2,7404,295,253,27,15,43,240,0.021528251,239811997.8,947873.5092,592000,186,55,12,14275911.11,375501629.8,8187558738,0.029289805
2018,9,9659,9028,583,84,2717,498,636,396,1204,2575,335,492,272,192,28,10,123,6,973,897,1015,8626,7093135662,734355.0743,519000,127116140.7,7000,214,190,19,5,23,210,0.021045636,173546435.9,913402.2944,653450,145,38,7,17569502.55,195549298.6,6302857978,0.027534562
2018,10,10398,9780,625,75,2911,552,809,434,1335,2630,409,460,234,169,57,19,135,4,1144,780,1226,9163,7661139513,736789.7204,497175,140226926.3,6424.145,232,208,17,7,36,216,0.021267894,185201257.1,890390.6593,590950,152,45,11,16571389.18,439387020.1,6723113343,0.027546949
2018,11,10453,9777,537,74,2799,536,611,391,1325,3476,28,502,236,231,35,17,146,11,1096,1296,1115,9336,7731470958,739641.343,510000,135477024.6,6220,302,266,22,8,44,289,0.02720671,200701879,754518.3421,568397.5,224,35,7,23351001.19,667616630,6410938317,0.031306163
2018,12,6768,6123,366,69,1711,339,434,230,832,1872,270,470,218,204,48,7,154,14,743,705,1008,5745,5718847278,844983.3448,499100,114082159.8,6100,165,137,24,4,35,147,0.022374653,123174296.2,899082.454,610000,109,21,7,12251653.01,341892348.3,4438948552,0.02774853
